,h3_hex_big_id,geometry
0,861f1b55fffffff,"POLYGON ((13.62149402016324 51.06140093438403, 13.60621357933343 51.0310923649953, 13.64249832960595 51.00970417022226, 13.6940718050128 51.01861598443281, 13.70939233335147 51.04892282240107, 13.67309932220601 51.0703195849211, 13.62149402016324 51.06140093438403))"
1,861f1b09fffffff,"POLYGON ((13.86432751736583 51.07550117594182, 13.84892575281114 51.04521764424041, 13.88517336487478 51.02375069740781, 13.93683059613754 51.03255867865309, 13.95227229075505 51.06284034648804, 13.91601684790693 51.08431590424021, 13.86432751736583 51.07550117594182))"
2,861f1b547ffffff,"POLYGON ((13.60046007155825 51.11305144151748, 13.58517856186151 51.0827625796771, 13.62149402016324 51.06140093438403, 13.67309932220601 51.0703195849211, 13.68842099374826 51.10060671369379, 13.65209722484993 51.12197693235273, 13.60046007155825 51.11305144151748))"
3,861f1b54fffffff,"POLYGON ((13.68842099374826 51.10060671369379, 13.67309932220601 51.0703195849211, 13.70939233335147 51.04892282240107, 13.76101519036987 51.05780460986821, 13.77637694704919 51.08808996190518, 13.74007578515884 51.10949531054669, 13.68842099374826 51.10060671369379))"
4,861f1b467ffffff,"POLYGON ((13.70939233335147 51.04892282240107, 13.6940718050128 51.01861598443281, 13.73033409929427 50.99719270170362, 13.78192504681841 51.00606768382338, 13.79728558598622 51.03637274669753, 13.76101519036987 51.05780460986821, 13.70939233335147 51.04892282240107))"
5,861f1b087ffffff,"POLYGON ((13.84345217144361 51.12720543733009, 13.82804913094349 51.096941637752, 13.86432751736583 51.07550117594182, 13.91601684790693 51.08431590424021, 13.93145989287782 51.11457783827422, 13.89517362671451 51.13602691686373, 13.84345217144361 51.12720543733009))"
6,861f1b56fffffff,"POLYGON ((13.66742002342611 51.15224433237433, 13.65209722484993 51.12197693235273, 13.68842099374826 51.10060671369379, 13.74007578515884 51.10949531054669, 13.75543874334306 51.13976093214367, 13.71910677411105 51.16113974266218, 13.66742002342611 51.15224433237433))"
7,861f1b46fffffff,"POLYGON ((13.79728558598622 51.03637274669753, 13.78192504681841 51.00606768382338, 13.81816471717115 50.98460932988954, 13.86977289210859 50.99344745323341, 13.88517336487478 51.02375069740781, 13.84892575281114 51.04521764424041, 13.79728558598622 51.03637274669753))"
8,861f1b097ffffff,"POLYGON ((13.77637694704919 51.08808996190518, 13.76101519036987 51.05780460986821, 13.79728558598622 51.03637274669753, 13.84892575281114 51.04521764424041, 13.86432751736583 51.07550117594182, 13.82804913094349 51.096941637752, 13.77637694704919 51.08808996190518))"
9,861f1b0b7ffffff,"POLYGON ((13.75543874334306 51.13976093214367, 13.74007578515884 51.10949531054669, 13.77637694704919 51.08808996190518, 13.82804913094349 51.096941637752, 13.84345217144361 51.12720543733009, 13.80714296947392 51.14861939041018, 13.75543874334306 51.13976093214367))"
